System,Activation,Initial (%),Final (%),Improvement (%),F_h,F_safe,F_depth,F_unsafe,Iterations,Timestamp
simple_2d,Relu,85.79,86.94,+1.15,0,0,0,0,10,2026-04-10 13:56:21
simple_2d,Tanh,98.96,98.16,-0.81,0,0,0,0,10,2026-04-10 13:54:48
simple_2d,Sigmoid,100.00,100.00,-0.00,0,0,0,0,10,2026-04-10 13:51:12
barr1,Relu,73.18,77.67,+4.49,0,0,0,0,10,2026-04-10 13:58:43
barr1,Tanh,93.19,93.88,+0.70,0,0,0,0,10,2026-04-10 13:56:43
barr1,Sigmoid,71.47,90.45,+18.98,0,0,0,0,10,2026-04-10 13:52:27
barr2,Relu,89.48,89.66,+0.18,0,0,0,0,10,2026-04-10 14:00:26
barr2,Tanh,99.00,98.96,-0.04,0,0,0,0,10,2026-04-10 13:57:37
barr2,Sigmoid,93.91,92.43,-1.48,0,0,0,0,10,2026-04-10 13:54:09
barr3,Relu,75.46,75.35,-0.11,0,0,0,0,10,2026-04-10 14:04:28
barr3,Tanh,97.94,98.02,+0.09,0,0,0,0,10,2026-04-10 13:59:58
barr3,Sigmoid,88.84,90.25,+1.40,0,0,0,0,10,2026-04-10 13:55:56
