System,Act,orig_h(%),orig_std(%),orig_R_s(%),orig_R_u(%),final_h(%),final_std(%),final_R_s(%),final_R_u(%),h_imp(%),std_imp(%),Iters,Timestamp
simple2d,LeakyRelu,93.05,93.76,99.67,87.24,88.13,90.77,98.87,79.50,-4.91,-2.99,6,2026-04-29 11:07:43
simple2d,Tanh,98.21,98.95,99.97,96.51,98.32,99.01,99.97,96.73,+0.11,+0.06,6,2026-04-29 11:08:30
simple2d,Sigmoid,97.32,98.06,98.75,95.93,99.64,99.54,99.41,99.87,+2.32,+1.48,8,2026-04-29 11:06:31
barr1,LeakyRelu,73.38,71.70,96.29,59.28,74.23,68.26,95.20,60.83,+0.85,-3.44,10,2026-04-29 11:12:56
barr1,Tanh,93.46,93.20,98.23,89.13,92.01,91.37,97.93,86.76,-1.45,-1.83,6,2026-04-29 11:14:20
barr1,Sigmoid,54.23,71.40,97.66,37.53,74.73,79.93,98.35,60.26,+20.50,+8.53,10,2026-04-29 11:09:10
barr2,LeakyRelu,88.32,87.23,99.59,79.34,88.40,87.15,99.65,79.44,+0.08,-0.09,6,2026-04-29 11:15:52
barr2,Tanh,99.27,99.30,99.82,98.72,99.22,99.26,99.82,98.63,-0.05,-0.05,6,2026-04-29 11:16:31
barr2,Sigmoid,99.55,99.56,99.37,99.73,99.82,99.84,99.65,100.00,+0.27,+0.28,6,2026-04-29 11:14:34
barr3,LeakyRelu,79.26,76.35,97.50,66.77,76.20,71.67,98.51,62.13,-3.06,-4.69,7,2026-04-29 11:21:50
barr3,Tanh,95.97,95.85,99.40,92.76,96.04,95.85,99.52,92.79,+0.07,+0.00,6,2026-04-29 11:23:24
barr3,Sigmoid,67.88,88.45,99.97,51.39,94.64,92.66,98.14,91.38,+26.75,+4.21,10,2026-04-29 11:17:34
barr4,LeakyRelu,35.63,43.58,94.63,21.95,34.99,43.49,94.67,21.46,-0.65,-0.09,5,2026-04-29 11:57:11
barr4,Tanh,18.40,12.65,38.17,12.12,17.39,11.79,38.72,11.22,-1.01,-0.86,5,2026-04-29 12:11:16
barr4,Sigmoid,51.38,78.19,98.28,34.78,63.49,84.33,98.30,46.89,+12.11,+6.14,10,2026-04-29 11:46:11
cartpole,LeakyRelu,88.02,79.86,78.60,100.00,88.70,81.16,79.69,100.00,+0.68,+1.31,6,2026-04-29 12:19:41
cartpole,Tanh,86.30,76.50,75.91,100.00,86.46,76.81,76.15,100.00,+0.16,+0.31,6,2026-04-29 12:27:09
cartpole,Sigmoid,84.49,78.50,77.73,92.55,84.38,78.49,77.72,92.28,-0.11,-0.02,5,2026-04-29 12:14:40
