System,Act,orig_h(%),orig_std(%),orig_R_s(%),orig_R_u(%),final_h(%),final_std(%),final_R_s(%),final_R_u(%),h_imp(%),std_imp(%),Iters,Timestamp
simple2d,LeakyRelu,93.05,93.76,99.67,87.24,92.91,93.76,99.19,87.37,-0.14,+0.00,6,2026-04-29 12:38:17
simple2d,Tanh,98.21,98.95,99.97,96.51,98.35,99.04,99.95,96.80,+0.14,+0.09,6,2026-04-29 12:38:53
simple2d,Sigmoid,97.32,98.06,98.75,95.93,99.74,99.67,99.58,99.91,+2.42,+1.61,10,2026-04-29 12:37:34
barr1,LeakyRelu,73.38,71.70,96.29,59.28,75.26,71.23,96.08,61.85,+1.87,-0.48,10,2026-04-29 12:39:45
barr1,Tanh,93.46,93.20,98.23,89.13,92.78,92.35,98.21,87.91,-0.68,-0.85,6,2026-04-29 12:40:06
barr1,Sigmoid,54.23,71.40,97.66,37.53,66.39,78.97,97.78,50.26,+12.17,+7.57,10,2026-04-29 12:39:08
barr2,LeakyRelu,88.32,87.23,99.59,79.34,88.98,88.18,99.49,80.48,+0.66,+0.95,6,2026-04-29 12:40:51
barr2,Tanh,99.27,99.30,99.82,98.72,99.30,99.33,99.73,98.87,+0.03,+0.02,6,2026-04-29 12:41:13
barr2,Sigmoid,99.55,99.56,99.37,99.73,99.78,99.79,99.60,99.96,+0.23,+0.23,6,2026-04-29 12:40:18
barr3,LeakyRelu,79.26,76.35,97.50,66.77,80.25,76.87,97.74,68.07,+0.99,+0.51,10,2026-04-29 12:43:27
barr3,Tanh,95.97,95.85,99.40,92.76,96.99,96.96,99.32,94.77,+1.02,+1.11,6,2026-04-29 12:44:25
barr3,Sigmoid,67.88,88.45,99.97,51.39,86.20,92.41,99.58,75.99,+18.32,+3.96,10,2026-04-29 12:41:34
barr4,LeakyRelu,35.63,43.58,94.63,21.95,35.38,43.72,94.69,21.75,-0.26,+0.14,6,2026-04-29 12:58:04
barr4,Tanh,18.40,12.65,38.17,12.12,18.61,12.61,42.06,11.95,+0.21,-0.05,6,2026-04-29 13:08:25
barr4,Sigmoid,51.38,78.19,98.28,34.78,47.56,78.39,98.27,31.37,-3.82,+0.21,6,2026-04-29 12:50:21
cartpole,LeakyRelu,88.02,79.86,78.60,100.00,88.14,80.09,78.79,100.00,+0.12,+0.23,6,2026-04-29 13:41:47
cartpole,Tanh,86.30,76.50,75.91,100.00,87.07,78.01,77.10,100.00,+0.77,+1.52,6,2026-04-29 13:49:22
cartpole,Sigmoid,84.49,78.50,77.73,92.55,87.39,78.88,77.81,99.64,+2.89,+0.37,6,2026-04-29 13:35:16
