System,Activation,Initial (%),Final (%),Improvement (%),F_h,F_safe,F_depth,F_unsafe,Iterations,Timestamp
simple_2d,Relu,96.26,96.28,+0.02,0,0,0,0,6,2026-04-12 19:40:34
simple_2d,Tanh,100.00,100.00,+0.00,0,0,0,0,0,2026-04-12 20:10:04
simple_2d,Sigmoid,100.00,100.00,+0.00,0,0,0,0,0,2026-04-12 22:17:58
barr1,Relu,86.54,90.01,+3.47,0,0,0,0,12,2026-04-12 19:45:06
barr1,Tanh,95.11,96.58,+1.47,0,0,0,0,12,2026-04-12 20:13:06
barr1,Sigmoid,71.95,91.51,+19.56,0,0,0,0,18,2026-04-12 22:22:17
barr2,Relu,97.69,97.88,+0.19,0,0,0,0,6,2026-04-12 19:47:23
barr2,Tanh,100.00,100.00,+0.00,0,0,0,0,0,2026-04-12 20:13:13
barr2,Sigmoid,93.98,92.86,-1.13,0,0,0,0,14,2026-04-12 22:25:36
barr3,Relu,93.08,92.98,-0.10,0,0,0,0,3,2026-04-12 19:27:42
barr3,Tanh,99.96,99.97,+0.01,0,0,0,0,6,2026-04-12 20:15:34
barr3,Sigmoid,89.08,91.85,+2.77,0,0,0,0,16,2026-04-12 22:30:09
