System,Act,orig_h(%),orig_std(%),final_h(%),final_std(%),h_imp(%),std_imp(%),Iters,Timestamp
simple_2d,Relu,90.95,96.26,89.24,96.42,-1.71,+0.16,6,2026-04-14 15:08:14
simple_2d,Tanh,100.00,100.00,100.00,100.00,+0.00,+0.00,0,2026-04-14 15:02:03
simple_2d,Sigmoid,100.00,100.00,100.00,100.00,+0.00,+0.00,0,2026-04-14 14:50:40
barr1,Relu,85.53,86.54,90.88,90.91,+5.36,+4.36,10,2026-04-15 12:57:11
barr1,Tanh,95.29,95.11,97.18,96.98,+1.89,+1.87,7,2026-04-15 12:41:55
barr1,Sigmoid,54.80,71.95,81.38,88.70,+26.59,+16.75,12,2026-04-15 12:35:24
barr2,Relu,97.58,97.71,97.35,97.59,-0.24,-0.12,7,2026-04-15 12:59:18
barr2,Tanh,99.98,99.98,99.98,99.98,+0.00,+0.00,0,2026-04-15 12:41:59
barr2,Sigmoid,81.73,91.75,89.29,94.43,+7.55,+2.68,10,2026-04-15 12:36:24
barr3,Relu,92.89,93.00,92.82,92.95,-0.08,-0.05,9,2026-04-15 13:06:29
barr3,Tanh,99.98,99.98,99.98,99.98,+0.00,+0.00,0,2026-04-15 12:42:02
barr3,Sigmoid,72.49,83.20,90.10,91.58,+17.62,+8.38,30,2026-04-15 12:40:24
