System,Act,orig_h(%),orig_std(%),final_h(%),final_std(%),h_imp(%),std_imp(%),Iters,Timestamp
simple_2d,Relu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
simple_2d,Tanh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
simple_2d,Sigmoid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
barr1,Relu,85.53,86.54,89.15,89.73,+3.62,+3.19,12,2026-04-15 12:09:23
barr1,Tanh,95.29,95.11,96.78,96.57,+1.48,+1.45,12,2026-04-15 12:04:42
barr1,Sigmoid,54.80,71.95,91.03,91.36,+36.23,+19.41,16,2026-04-15 11:54:27
barr2,Relu,97.58,97.71,97.59,97.76,+0.00,+0.05,7,2026-04-15 12:12:03
barr2,Tanh,99.98,99.98,99.98,99.98,+0.00,+0.00,0,2026-04-15 12:04:46
barr2,Sigmoid,81.73,91.75,94.22,94.24,+12.48,+2.48,14,2026-04-15 11:57:35
barr3,Relu,92.89,93.00,92.78,92.83,-0.11,-0.17,7,2026-04-15 12:17:46
barr3,Tanh,99.98,99.98,99.98,99.98,+0.00,+0.00,0,2026-04-15 12:04:49
barr3,Sigmoid,72.49,83.20,88.16,94.70,+15.67,+11.49,17,2026-04-15 12:01:23
